PERSONAL.CARE,EATING.AND.DRINKING,OTHER
1,0.479166666666667,0.0208333333333333,0.5
2,0.375,0.00694444444444444,0.618055555555556
3,0.489583333333333,0.0208333333333333,0.489583333333333
4,0.3125,0.0277777777777778,0.659722222222222
5,0.625,0.03125,0.34375
6,0.336805555555556,0.111111111111111,0.552083333333333
7,0.666666666666667,0.0208333333333333,0.3125
8,0.340277777777778,0.0604166666666667,0.599305555555556
9,0.333333333333333,0.0243055555555556,0.642361111111111
10,0.305555555555556,0.0277777777777778,0.666666666666667
11,0.416666666666667,0.0208333333333333,0.5625
12,0.423611111111111,0.0208333333333333,0.555555555555556
13,0.378472222222222,0.0520833333333333,0.569444444444444
14,0.395833333333333,0.0625,0.541666666666667
15,0.388888888888889,0.0104166666666667,0.600694444444444
16,0.520833333333333,0.0208333333333333,0.458333333333333
17,0.395833333333333,0.0486111111111111,0.555555555555556
18,0.350694444444444,0.0493055555555556,0.6
19,0.274305555555556,0.0416666666666667,0.684027777777778
20,0.541666666666667,0.0416666666666667,0.416666666666667
21,0.416666666666667,0.0520833333333333,0.53125
22,0.447916666666667,0.0138888888888889,0.538194444444444
23,0.472916666666667,0.00694444444444444,0.520138888888889
24,0.416666666666667,0.0729166666666667,0.510416666666667
25,0.308333333333333,0.0208333333333333,0.670833333333333
26,0.536805555555556,0.0208333333333333,0.442361111111111
27,0.375,0.0555555555555556,0.569444444444444
28,0.434027777777778,0.0277777777777778,0.538194444444444
29,0.419444444444444,0.0381944444444444,0.542361111111111
30,0.373611111111111,0.0277777777777778,0.598611111111111
31,0.375,0.0243055555555556,0.600694444444444
32,0.399305555555556,0.0277777777777778,0.572916666666667
33,0.430555555555556,0.0486111111111111,0.520833333333333
34,0.399305555555556,0.03125,0.569444444444444
35,0.291666666666667,0.0520833333333333,0.65625
36,0.520833333333333,0.0555555555555556,0.423611111111111
37,0.458333333333333,0.0833333333333333,0.458333333333333
38,0.3125,0.0208333333333333,0.666666666666667
39,0.5,0.0208333333333333,0.479166666666667
40,0.598611111111111,0.0416666666666667,0.359722222222222
41,0.359027777777778,0.0208333333333333,0.620138888888889
42,0.395833333333333,0.0416666666666667,0.5625
43,0.430555555555556,0.03125,0.538194444444444
44,0.340277777777778,0.03125,0.628472222222222
45,0.0458333333333333,0.0138888888888889,0.940277777777778
46,0.378472222222222,0.0520833333333333,0.569444444444444
47,0.443055555555556,0.00694444444444444,0.55
48,0.375,0.0208333333333333,0.604166666666667
49,0.434027777777778,0.0833333333333333,0.482638888888889
50,0.46875,0.0208333333333333,0.510416666666667
51,0.416666666666667,0.0625,0.520833333333333
52,0.572222222222222,0.0138888888888889,0.413888888888889
53,0.392361111111111,0.0625,0.545138888888889
54,0.458333333333333,0.0104166666666667,0.53125
55,0.402777777777778,0.0833333333333333,0.513888888888889
56,0.423611111111111,0.0381944444444444,0.538194444444444
57,0.420138888888889,0.0104166666666667,0.569444444444444
58,0.295138888888889,0.0659722222222222,0.638888888888889
59,0.416666666666667,0.0416666666666667,0.541666666666667
60,0.46875,0.0486111111111111,0.482638888888889
61,0.5,0.0729166666666667,0.427083333333333
62,0.579861111111111,0.00694444444444444,0.413194444444444
63,0.40625,0.0833333333333333,0.510416666666667
64,0.475694444444444,0.0138888888888889,0.510416666666667
